 k=1,  err= 5.280167
 k=2,  err= 3.443591
 k=3,  err= 2.074542
 k=4,  err= 1.271328
 k=5,  err= 0.776444
 k=6,  err= 0.474529
 k=7,  err= 0.289971
 k=8,  err= 0.177198
 k=9,  err= 0.108283
 k=10,  err= 0.066170
 k=11,  err= 0.040436
 k=12,  err= 0.024710
 k=13,  err= 0.015100
 k=14,  err= 0.009227
 k=15,  err= 0.005639
 k=16,  err= 0.003446
 k=17,  err= 0.002106
 k=18,  err= 0.001287
 k=19,  err= 0.000786
 k=20,  err= 0.000480
 k=21,  err= 0.000294
 k=22,  err= 0.000179
 k=23,  err= 0.000110
 k=24,  err= 0.000067
 k=25,  err= 0.000041
 k=26,  err= 0.000025
 k=27,  err= 0.000015
 k=28,  err= 0.000009
 k=29,  err= 0.000006
 k=30,  err= 0.000003
 k=31,  err= 0.000002
 k=32,  err= 0.000001
 k=33,  err= 0.000001
 k=1,  err= 4.650676
 k=2,  err= 2.941168
 k=3,  err= 0.987358
 k=4,  err= 0.190140
 k=5,  err= 0.048331
 k=6,  err= 0.021688
 k=7,  err= 0.005242
 k=8,  err= 0.001035
 k=9,  err= 0.000556
 k=10,  err= 0.000171
 k=11,  err= 0.000029
 k=12,  err= 0.000013
 k=13,  err= 0.000005
 k=14,  err= 0.000001
 k=15,  err= 0.000000
